,is_phishing,is_safe,suspicious_words_subject,suspicious_words_body,sender_nums_count,sender_domain_num_count,sender_domain_length,urls_count,protocol,contains_ip,url_length,TLD_alpha,subdomain_level,slash_count,dots_count,hyphens_count,has_non_latin
0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,21.0,1.0,0.0,3.0,1.0,0.0,0.0
1,1.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,25.0,1.0,1.0,2.0,2.0,0.0,0.0
2,1.0,0.0,0.0,4.0,0.0,0.0,16.0,3.0,0.0,0.0,107.0,1.0,1.0,6.0,5.0,0.0,0.0
3,0.0,1.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,18.0,0.0,0.0,2.0,1.0,0.0,0.0
4,1.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,136.0,1.0,2.0,4.0,4.0,2.0,0.0
7,1.0,0.0,0.0,4.0,4.0,0.0,5.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,4.0,0.0,0.0
8,0.0,1.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,58.0,1.0,1.0,4.0,3.0,0.0,0.0
9,1.0,0.0,0.0,4.0,4.0,0.0,13.0,3.0,0.0,0.0,114.0,1.0,1.0,6.0,5.0,0.0,0.0
10,1.0,0.0,1.0,4.0,3.0,0.0,13.0,2.0,0.0,0.0,26.0,1.0,0.0,2.0,1.0,0.0,0.0
11,1.0,0.0,1.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,22.0,1.0,0.0,2.0,1.0,0.0,0.0
12,1.0,0.0,0.0,4.0,0.0,0.0,8.0,3.0,0.0,0.0,99.0,1.0,1.0,4.0,4.0,2.0,0.0
13,1.0,0.0,0.0,4.0,0.0,0.0,16.0,3.0,0.0,0.0,68.0,1.0,1.0,6.0,5.0,0.0,0.0
14,1.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,19.0,1.0,0.0,2.0,1.0,0.0,0.0
15,0.0,1.0,0.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,32.0,1.0,0.0,4.0,1.0,0.0,0.0
16,1.0,0.0,0.0,4.0,0.0,0.0,16.0,3.0,0.0,0.0,97.0,1.0,1.0,6.0,5.0,0.0,0.0
17,1.0,0.0,0.0,4.0,0.0,0.0,16.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,5.0,0.0,0.0
18,0.0,1.0,0.0,2.0,2.0,0.0,6.0,3.0,0.0,0.0,57.0,1.0,1.0,5.0,2.0,1.0,0.0
19,0.0,1.0,0.0,8.0,2.0,0.0,6.0,3.0,1.0,0.0,72.0,1.0,3.0,6.0,4.0,0.0,0.0
20,0.0,1.0,1.0,2.0,0.0,0.0,11.0,3.0,0.0,0.0,18.0,1.0,1.0,0.0,2.0,0.0,0.0
22,0.0,1.0,1.0,2.0,0.0,0.0,20.0,1.0,1.0,0.0,57.0,1.0,3.0,5.0,4.0,0.0,0.0
23,0.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,58.0,1.0,1.0,5.0,2.0,1.0,0.0
26,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,40.0,1.0,1.0,4.0,3.0,0.0,0.0
28,1.0,0.0,0.0,2.0,4.0,2.0,16.0,1.0,0.0,0.0,24.0,1.0,1.0,2.0,2.0,0.0,0.0
30,1.0,0.0,0.0,4.0,0.0,4.0,8.0,3.0,0.0,0.0,63.0,1.0,1.0,6.0,4.0,0.0,0.0
32,1.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,22.0,1.0,0.0,3.0,1.0,0.0,0.0
34,0.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,67.0,1.0,0.0,5.0,2.0,0.0,0.0
35,1.0,0.0,0.0,4.0,4.0,4.0,7.0,3.0,0.0,0.0,60.0,1.0,1.0,6.0,4.0,0.0,0.0
38,0.0,1.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,58.0,1.0,1.0,4.0,3.0,0.0,0.0
39,1.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,20.0,1.0,0.0,3.0,1.0,0.0,0.0
41,1.0,0.0,0.0,4.0,0.0,0.0,10.0,3.0,0.0,0.0,60.0,1.0,1.0,6.0,4.0,0.0,0.0
43,0.0,1.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,32.0,1.0,1.0,5.0,2.0,0.0,0.0
44,0.0,1.0,0.0,2.0,0.0,0.0,17.0,1.0,0.0,0.0,25.0,1.0,1.0,0.0,2.0,0.0,0.0
48,1.0,0.0,0.0,4.0,4.0,0.0,5.0,3.0,0.0,0.0,40.0,1.0,1.0,4.0,4.0,0.0,0.0
49,1.0,0.0,0.0,4.0,0.0,0.0,10.0,3.0,0.0,0.0,76.0,1.0,1.0,6.0,5.0,0.0,0.0
50,0.0,1.0,1.0,2.0,0.0,0.0,9.0,3.0,0.0,0.0,43.0,1.0,2.0,5.0,3.0,0.0,0.0
53,0.0,1.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,58.0,1.0,1.0,4.0,3.0,0.0,0.0
54,0.0,1.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,37.0,1.0,1.0,4.0,2.0,0.0,0.0
55,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,66.0,1.0,2.0,4.0,4.0,0.0,0.0
56,0.0,1.0,1.0,16.0,0.0,0.0,22.0,3.0,0.0,0.0,58.0,1.0,1.0,4.0,3.0,0.0,0.0
57,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,23.0,1.0,1.0,3.0,2.0,0.0,0.0
59,0.0,1.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,13.0,0.0,2.0,0.0,3.0,0.0,0.0
61,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,30.0,1.0,0.0,2.0,1.0,0.0,0.0
63,0.0,1.0,0.0,3.0,1.0,0.0,5.0,2.0,1.0,0.0,44.0,1.0,1.0,5.0,2.0,1.0,0.0
64,1.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,19.0,1.0,0.0,3.0,1.0,0.0,0.0
65,0.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,37.0,1.0,1.0,4.0,2.0,0.0,0.0
67,1.0,0.0,0.0,4.0,4.0,0.0,16.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,4.0,0.0,0.0
69,1.0,0.0,0.0,4.0,4.0,0.0,15.0,3.0,0.0,0.0,66.0,1.0,1.0,6.0,5.0,0.0,0.0
70,1.0,0.0,0.0,4.0,4.0,0.0,10.0,3.0,0.0,0.0,68.0,1.0,1.0,6.0,4.0,0.0,0.0
71,1.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,23.0,1.0,1.0,0.0,2.0,0.0,0.0
72,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,23.0,1.0,0.0,3.0,1.0,0.0,0.0
73,0.0,1.0,0.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,50.0,1.0,1.0,5.0,2.0,1.0,0.0
74,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,49.0,1.0,2.0,3.0,4.0,0.0,0.0
75,1.0,0.0,0.0,4.0,0.0,1.0,9.0,3.0,0.0,0.0,59.0,1.0,1.0,6.0,4.0,0.0,0.0
76,1.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,21.0,1.0,0.0,3.0,1.0,0.0,0.0
77,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,29.0,1.0,1.0,4.0,2.0,0.0,0.0
78,1.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,47.0,1.0,2.0,3.0,4.0,0.0,0.0
79,1.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,68.0,1.0,1.0,6.0,4.0,0.0,0.0
80,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,50.0,1.0,2.0,3.0,4.0,0.0,0.0
81,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,45.0,1.0,2.0,3.0,4.0,0.0,0.0
84,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,46.0,1.0,1.0,3.0,2.0,0.0,0.0
85,1.0,0.0,0.0,4.0,0.0,4.0,8.0,3.0,0.0,0.0,59.0,1.0,1.0,6.0,4.0,0.0,0.0
86,1.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,20.0,1.0,0.0,3.0,1.0,0.0,0.0
90,1.0,0.0,0.0,4.0,4.0,0.0,18.0,3.0,0.0,0.0,72.0,1.0,1.0,6.0,5.0,0.0,0.0
92,0.0,1.0,0.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,74.0,1.0,1.0,6.0,3.0,2.0,0.0
93,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,74.0,1.0,1.0,6.0,3.0,2.0,0.0
